Date;Integrated;Max;SD
26/03/2010;47276250;2437,5;791,2910054
27/03/2010;53120250;2240;774,548228
28/03/2010;52927500;2207,5;782,0908821
29/03/2010;51873000;2227,5;760,9575188
30/03/2010;49436250;2402,5;756,1688897
31/03/2010;52677000;2267,5;829,0871559
01/04/2010;40242000;2145;654,1939224
02/04/2010;52238250;2170;781,6708438
03/04/2010;55304250;2110;799,0702707
04/04/2010;47153250;2342,5;705,0794017
05/04/2010;43488750;2490;757,579005
06/04/2010;52622250;2097,5;785,2490918
07/04/2010;52760250;2120;785,8081782
08/04/2010;53167500;2165;793,7984188
09/04/2010;49418250;2312,5;746,2733027
10/04/2010;40749750;2150;653,7908225
11/04/2010;44439750;2132,5;685,1198376
12/04/2010;42376500;2335;714,4631678
13/04/2010;49109250;2290;784,846434
14/04/2010;41865750;2407,5;701,3051001
15/04/2010;39078750;2377,5;632,6941387
16/04/2010;47769000;2332,5;752,5021942
17/04/2010;44547750;2187,5;684,410029
18/04/2010;34083000;2230;606,2943526
19/04/2010;19768500;2037,5;368,3545027
20/04/2010;39963000;2282,5;709,196413
21/04/2010;40000500;2185;718,2828567
22/04/2010;25381500;2212,5;500,9207157
